party,state,name,letra,type,fem,n,year
Morena,México,Roberto Ángel Domínguez Rodríguez,o,smd,,187,2018
Morena,Cuarta,Rocío Carolina Pozos Ponce (aún no redactado),o,pr,1,188,2018
Morena,Cuarta,Rocío Villarauz Martínez,o,pr,1,189,2018
Morena,Veracruz,Rodrigo Calderón Salas (aún no redactado),o,smd,,190,2018
Morena,Quinta,Sergio Gutiérrez Luna,o,pr,,191,2018
Morena,Ciudad de México,Sergio Mayer,o,smd,,192,2018
Morena,Quinta,Sergio Pérez Hernández (aún no redactado),o,pr,,193,2018
Morena,Quinta,Socorro Bahena Jiménez (aún no redactado),o,pr,1,194,2018
Morena,Baja California,Socorro Irma Andazola Gómez (aún no redactado),o,smd,1,195,2018
Morena,México,César Agustín Hernández Pérez (aún no redactado),r,smd,,196,2018
Morena,México,Edgar Eduardo Arenas Madrigal (aún no redactado),r,smd,,197,2018
Morena,Chihuahua,Esther Mejía Cruz,r,smd,1,198,2018
Morena,Puebla,Héctor Jiménez y Meneses,r,smd,,199,2018
Morena,Baja California,Javier Castañeda Pomposo,r,smd,,200,2018
Morena,Ciudad de México,Javier Hidalgo Ponce,r,smd,,201,2018
Morena,Sonora,Javier Lamarque Cano,r,smd,,202,2018
Morena,Guerrero,Javier Manzano Salazar,r,smd,,203,2018
Morena,Quinta,Javier Salinas Narváez,r,pr,,204,2018
Morena,México,Óscar González Yáñez,r,smd,,205,2018
Morena,Ciudad de México,Óscar Gutiérrez Camacho (aún no redactado),r,smd,,206,2018
Morena,Segunda,Oscar Rafael Novella Macías (aún no redactado),r,pr,,207,2018
Morena,Tercera,Víctor Blas López (aún no redactado),r,pr,,208,2018
Morena,México,Ángeles Huerta del Río,s,smd,,209,2018
Morena,Campeche,Carlos Enrique Martínez Ake (aún no redactado),s,smd,,210,2018
Morena,Sinaloa,Carlos Iván Ayala Bobadilla (aún no redactado),s,smd,,211,2018
Morena,Guerrero,Carlos Sánchez Barrios,s,smd,,212,2018
Morena,Quinta,Carlos Torres Piña,s,pr,,213,2018
Morena,Tercera,Ediltrudis Rodríguez Arellano (aún no redactado),s,pr,,214,2018
Morena,Puebla,Inés Parra Juárez (aún no redactado),s,smd,,215,2018
Morena,Sinaloa,Jesus Fernando Garcia Hernandez (aún no redactado),s,smd,,216,2018
Morena,Baja California,Jesús Salvador Minor Mora (aún no redactado),s,smd,,217,2018
Morena,Tercera,Luis Alegre Salazar (aún no redactado),s,pr,,218,2018
Morena,Coahuila,Luis Fernando Salazar Fernández,s,smd,,219,2018
Morena,Chihuahua,Ulises García Soto (aún no redactado),s,smd,,220,2018
Morena,México,Ulises Murguía Soto (aún no redactado),s,smd,,221,2018
Morena,Hidalgo,Jannet Téllez Infante (aún no redactado),t,smd,1,222,2018
Morena,Yucatán,Limbert Interián Gallegos (aún no redactado),t,smd,,223,2018
Morena,Ciudad de México,Montserrat Navarro Pérez (aún no redactado),t,smd,1,224,2018
Morena,Tercera,Dorheny García Cayetano (aún no redactado),y,pr,1,225,2018
Morena,Sinaloa,Merary Villegas Sánchez,y,smd,1,226,2018
Morena,México,Nelly Minerva Carrasco Godínez (aún no redactado),y,smd,1,227,2018
Morena,Sonora,Wendy Briceño Zuloaga,y,smd,1,228,2018
Morena,Oaxaca,Beatriz Pérez López,z,smd,1,229,2018
Morena,Querétaro,Beatriz Silvia Robles Gutiérrez (aún no redactado),z,smd,1,230,2018
