party,state,name,letra,type,fem,n,year
PAN,Aguascalientes,Ernesto Ruiz Velazco (aún no redactado),o,smd,,134,2006
PAN,Zacatecas,Federico Bernal Frausto (aún no redactado),o,smd,,135,2006
PAN,Segunda,Francisco Dávila García,o,pr,,136,2006
PAN,Cuarta,Francisco Fraile García (aún no redactado),o,pr,,137,2006
PAN,Jalisco,Francisco Javier Gudiño Ortiz (aún no redactado),o,smd,,138,2006
PAN,Guanajuato,Francisco Javier Murillo Flores (aún no redactado),o,smd,,139,2006
PAN,Baja California,Francisco Javier Paredes Rodríguez (aún no redactado),o,smd,,140,2006
PAN,Jalisco,Francisco Javier Plascencia Alonso (aún no redactado),o,smd,,141,2006
PAN,Baja California,Francisco Rueda Gómez (aún no redactado),o,smd,,142,2006
PAN,Jalisco,Gerardo Amezola Fonceca (aún no redactado),o,smd,,143,2006
PAN,Primera,Gerardo Aranda Orozco (aún no redactado),o,pr,,144,2006
PAN,Tercera,Gerardo Buganza Salmerón,o,pr,,145,2006
PAN,Yucatán,Gerardo Escaroz Soler (aún no redactado),o,smd,,146,2006
PAN,Tercera,Gerardo Priego Tapia,o,pr,,147,2006
PAN,Veracruz,Gregorio Barradas Miravete,o,smd,,148,2006
PAN,Segunda,Gustavo Cárdenas Gutiérrez,o,pr,,149,2006
PAN,Jalisco,Gustavo Macías Zambrano,o,smd,,150,2006
PAN,Quinta,Gustavo Parra Noriega,o,pr,,151,2006
PAN,Nuevo León,Gustavo Ramírez Villarreal (aún no redactado),o,smd,,152,2006
PAN,Jalisco,Leobardo Curiel Preciado (aún no redactado),o,smd,,153,2006
PAN,Segunda,Leonardo Magallón Arceo (aún no redactado),o,pr,,154,2006
PAN,Quinta,Marco Antonio Peyrot Solís,o,pr,,155,2006
PAN,Segunda,Marco Heriberto Orozco Ruiz Velazco (aún no redactado),o,pr,,156,2006
PAN,Primera,Mario Alberto Salazar Madera (aún no redactado),o,pr,,157,2006
PAN,Jalisco,Mario Moreno Álvarez (aún no redactado),o,smd,,158,2006
PAN,Veracruz,Mauricio Duck Núñez (aún no redactado),o,smd,,159,2006
PAN,Cuarta,Obdulio Ávila Mayo,o,pr,,160,2006
PAN,Aguascalientes,Pedro Armendáriz García (aún no redactado),o,smd,,161,2006
PAN,Veracruz,Pedro Pulido Pecero (aún no redactado),o,smd,,162,2006
PAN,Baja California,Ricardo Franco Cázarez (aún no redactado),o,smd,,163,2006
PAN,Primera,Ricardo Rodríguez Jiménez (aún no redactado),o,pr,,164,2006
PAN,Primera,Rocío Morgan Franco (aún no redactado),o,pr,1,165,2006
PAN,Segunda,Rogelio Carbajal Tejada,o,pr,,166,2006
PAN,Coahuila,Rolando Rivero Rivero (aún no redactado),o,smd,,167,2006
PAN,Quinta,Silvio Gómez Leyva (aún no redactado),o,pr,,168,2006
PAN,Segunda,César Augusto Verástegui Ostos (aún no redactado),r,pr,,169,2006
PAN,Primera,Delber Medina Rodríguez (aún no redactado),r,pr,,170,2006
PAN,Guanajuato,Éctor Jaime Ramírez Barba,r,smd,,171,2006
PAN,Primera,Héctor Larios Córdova,r,pr,,172,2006
PAN,Baja California,Héctor Manuel Ramos Covarrubias (aún no redactado),r,smd,,173,2006
PAN,Cuarta,Javier Bolaños Aguilar,r,pr,,174,2006
